trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
182,False,"{'a': 0.31799999999999984, 'e': 0.026782676492638175}",20,14,11.03287513594435,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.31699999999999984, 'e': 0.02625234396568796}",20,0,32.8343395646476,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
184,False,"{'a': 0.31599999999999984, 'e': 0.02573251272635994}",30,21,4.135316709692052,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.31499999999999984, 'e': 0.025222974835227212}",20,9,23.644532863269795,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.31399999999999983, 'e': 0.024723526470339388}",20,4,25.759697087117924,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.31299999999999983, 'e': 0.024233967845691113}",20,4,28.50518315964766,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.31199999999999983, 'e': 0.023754103131304997}",20,12,13.343542210003966,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.31099999999999983, 'e': 0.023283740374897}",25,16,17.147260170954922,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.30999999999999983, 'e': 0.02282269142509297}",20,9,15.303866137647178,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.30899999999999983, 'e': 0.02237077185616559}",25,19,8.685736064746168,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.30799999999999983, 'e': 0.02192780089426161}",20,6,22.48146222280391,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.30699999999999983, 'e': 0.021493601345089923}",20,8,17.348620153335904,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.3059999999999998, 'e': 0.021067999523041434}",20,10,13.540857351659731,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.3049999999999998, 'e': 0.020650825181712566}",25,14,16.957415301626288,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.3039999999999998, 'e': 0.02024191144580439}",20,3,27.71844576334051,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.3029999999999998, 'e': 0.019841094744370288}",25,16,16.16201116133146,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.3019999999999998, 'e': 0.01944821474538539}",20,13,9.7865800524824,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.3009999999999998, 'e': 0.019063114291611637}",20,12,16.599800088343187,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.2999999999999998, 'e': 0.018685639337732773}",25,8,32.52759310782504,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.2989999999999998, 'e': 0.01831563888873418}",20,3,27.79106156071079,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.2979999999999998, 'e': 0.01795296493950285}",25,20,11.16684719968776,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.2969999999999998, 'e': 0.017597472415623393}",25,12,20.346139962026193,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.2959999999999998, 'e': 0.017249019115346265}",20,12,12.374209630664636,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.2949999999999998, 'e': 0.01690746565270528}",25,2,39.77145151272734,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.2939999999999998, 'e': 0.016572675401761255}",30,13,25.652165247556738,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.2929999999999998, 'e': 0.01624451444194987}",35,23,-17.645048134310112,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
208,False,"{'a': 0.2919999999999998, 'e': 0.015922851504511698}",25,0,34.76554423417575,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
209,False,"{'a': 0.2909999999999998, 'e': 0.01560755791998283}",20,0,27.674404002225693,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
